更新时间: 2025-11-30 16:56:52（北京时间）

更新时间,#genre#
2025-11-30 16:56:52,http://live.njgdmm.com/changzhi/cztv1.m3u8$长治综合#http://live.njgdmm.com/changzhi/cztv2.m3u8$长治公共#http://live.njgdmm.com/changzhi/czetv.m3u8$长治教育#https://f3jok3az.live.sxmty.com/live/hls/ebaa2bf2e7f94dc79d4e642ac76d2415/0d97361a940348729fbd0ee3f4eb9e47.m3u8$屯留电视台#http://zhibo.czmarathon.net/cdd/TVLive.m3u8?auth_key=1724143889-0-0-929d4ecd8b7700822ec202b14ebc6c3c$上党TV#https://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8$壶关电视台#http://60.220.198.84:81/0.m3u8$武乡电视台#http://player4.juyun.tv:80/tv/149466149.m3u8$平顺电视台#http://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8$涉县综合#http://live.jinnews.com.cn/xwzh/sd/live.m3u8$晋城综合#http://live.jinnews.com.cn/xwzh/sd/live.m3u8?zshanxd$晋城综合#http://live.jinnews.com.cn/ggpd/sd/live.m3u8$晋城文化#http://live.jinnews.com.cn/ggpd/sd/live.m3u8?zshanxd$晋城文化

央视频道,#genre#
CCTV11,http://60.223.72.146:8004/rtp/226.0.2.28:8136$山西联通
CCTV11,http://223.198.242.106:4000/rtp/239.253.64.70:5140$海南电信
CCTV11,http://223.198.242.106:4000/rtp/239.253.64.19:5140$海南电信
CCTV11,http://60.223.72.117:8001/rtp/226.0.2.28:8136$山西联通
CCTV11,http://183.191.151.201:8005/rtp/226.0.2.28:8136$山西联通
CCTV11,http://60.216.164.56:6688/rtp/239.21.2.2:5002$山东电信
CCTV11,http://60.216.164.56:6688/rtp/239.21.1.12:5002$山东电信
CCTV11,http://60.223.72.146:8001/rtp/226.0.2.28:8136$山西联通
CCTV11,http://117.81.217.185:5555/rtp/239.49.1.11:6000$江苏电信
CCTV11,http://106.116.241.95:9999/rtp/239.254.201.123:8120$河北省电信
CCTV11,http://42.179.211.253:8888/rtp/232.0.0.178:1234$辽宁联通
CCTV11,http://113.25.107.142:10000/rtp/239.1.1.18:8018$山西电信
CCTV11,http://183.191.151.201:8001/rtp/226.0.2.28:8136$山西联通
CCTV12,http://60.223.72.146:8004/rtp/226.0.2.29:8144$山西联通
CCTV12,http://223.198.242.106:4000/rtp/239.253.64.97:5140$海南电信
CCTV12,http://223.198.242.106:4000/rtp/239.253.64.20:5140$海南电信
CCTV12,http://60.223.72.117:8001/rtp/226.0.2.29:8144$山西联通
CCTV12,http://183.191.151.201:8005/rtp/226.0.2.29:8144$山西联通
CCTV12,http://60.216.164.56:6688/rtp/239.21.1.156:5002$山东电信
CCTV12,http://60.223.72.146:8001/rtp/226.0.2.29:8144$山西联通
CCTV12,http://117.81.217.185:5555/rtp/239.49.1.12:6000$江苏电信
CCTV12,http://106.116.241.95:9999/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://42.179.211.253:8888/rtp/232.0.0.139:1234$辽宁联通
CCTV12,http://183.191.151.201:8001/rtp/226.0.2.29:8144$山西联通
CCTV13,http://60.223.72.146:8004/rtp/226.0.2.30:8152$山西联通
CCTV13,http://223.198.242.106:4000/rtp/239.253.64.59:5140$海南电信
CCTV13,http://223.198.242.106:4000/rtp/239.253.64.21:5140$海南电信
CCTV13,http://60.223.72.117:8001/rtp/226.0.2.30:8152$山西联通
CCTV13,http://183.191.151.201:8005/rtp/226.0.2.30:8152$山西联通
CCTV13,http://60.216.164.56:6688/rtp/239.21.2.3:5002$山东电信
CCTV13,http://60.223.72.146:8001/rtp/226.0.2.30:8152$山西联通
CCTV13,http://117.81.217.185:5555/rtp/239.49.1.13:6000$江苏电信
CCTV13,http://106.116.241.95:9999/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://42.179.211.253:8888/rtp/232.0.0.15:1234$辽宁联通
CCTV13,http://183.191.151.201:8001/rtp/226.0.2.30:8152$山西联通
CCTV14,http://60.223.72.146:8004/rtp/226.0.2.31:8160$山西联通
CCTV14,http://223.198.242.106:4000/rtp/239.253.64.115:5140$海南电信
CCTV14,http://223.198.242.106:4000/rtp/239.253.64.22:5140$海南电信
CCTV14,http://60.223.72.117:8001/rtp/226.0.2.31:8160$山西联通
CCTV14,http://183.191.151.201:8005/rtp/226.0.2.31:8160$山西联通
CCTV14,http://60.216.164.56:6688/rtp/239.21.1.157:5002$山东电信
CCTV14,http://60.216.164.56:6688/rtp/239.21.1.15:5002$山东电信
CCTV14,http://60.223.72.146:8001/rtp/226.0.2.31:8160$山西联通
CCTV14,http://117.81.217.185:5555/rtp/239.49.1.14:6000$江苏电信
CCTV14,http://106.116.241.95:9999/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://42.179.211.253:8888/rtp/232.0.0.140:1234$辽宁联通
CCTV14,http://183.191.151.201:8001/rtp/226.0.2.31:8160$山西联通
CCTV15,http://60.223.72.146:8004/rtp/226.0.2.32:8168$山西联通
CCTV15,http://223.198.242.106:4000/rtp/239.253.64.72:5140$海南电信
CCTV15,http://223.198.242.106:4000/rtp/239.253.64.23:5140$海南电信
CCTV15,http://60.223.72.117:8001/rtp/226.0.2.32:8168$山西联通
CCTV15,http://183.191.151.201:8005/rtp/226.0.2.32:8168$山西联通
CCTV15,http://60.216.164.56:6688/rtp/239.21.2.4:5002$山东电信
CCTV15,http://60.216.164.56:6688/rtp/239.21.1.16:5002$山东电信
CCTV15,http://60.223.72.146:8001/rtp/226.0.2.32:8168$山西联通
CCTV15,http://117.81.217.185:5555/rtp/239.49.1.15:6000$江苏电信
CCTV15,http://106.116.241.95:9999/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://42.179.211.253:8888/rtp/232.0.0.179:1234$辽宁联通
CCTV15,http://113.25.107.142:10000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://183.191.151.201:8001/rtp/226.0.2.32:8168$山西联通
CCTV16,http://183.30.201.9:10002/rtp/239.77.1.98:5146$广东电信
CCTV16,http://118.251.97.203:8888/rtp/239.76.253.224:9000$湖南电信
CCTV16,http://42.179.211.253:8888/rtp/232.0.0.182:1234$辽宁联通
CCTV16,http://119.131.26.48:9003/rtp/239.77.1.98:5146$广东电信
CCTV17,http://60.223.72.146:8004/rtp/226.0.2.207:9568$山西联通
CCTV17,http://223.198.242.106:4000/rtp/239.253.64.67:5140$海南电信
CCTV17,http://223.198.242.106:4000/rtp/239.253.64.53:5140$海南电信
CCTV17,http://60.223.72.117:8001/rtp/226.0.2.207:9568$山西联通
CCTV17,http://183.191.151.201:8005/rtp/226.0.2.207:9568$山西联通
CCTV17,http://60.216.164.56:6688/rtp/239.21.1.186:5002$山东电信
CCTV17,http://60.216.164.56:6688/rtp/239.21.1.206:5002$山东电信
CCTV17,http://60.223.72.146:8001/rtp/226.0.2.207:9568$山西联通
CCTV17,http://117.81.217.185:5555/rtp/239.49.1.7:6000$江苏电信
CCTV17,http://106.116.241.95:9999/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://183.191.151.201:8001/rtp/226.0.2.207:9568$山西联通
兵器科技,http://117.81.217.185:5555/rtp/239.49.1.64:6000$江苏电信
兵器科技,http://106.116.241.95:9999/rtp/239.254.200.101:6235$河北省电信
兵器科技,http://42.179.211.253:8888/rtp/232.0.0.58:1234$辽宁联通
风云音乐,http://117.81.217.185:5555/rtp/239.49.1.68:6000$江苏电信
风云音乐,http://106.116.241.95:9999/rtp/239.254.200.96:6230$河北省电信
风云音乐,http://42.179.211.253:8888/rtp/232.0.0.47:1234$辽宁联通
风云足球,http://117.81.217.185:5555/rtp/239.49.1.61:6000$江苏电信
风云足球,http://106.116.241.95:9999/rtp/239.254.200.97:6231$河北省电信
风云足球,http://42.179.211.253:8888/rtp/232.0.0.52:1234$辽宁联通
风云剧场,http://117.81.217.185:5555/rtp/239.49.1.65:6000$江苏电信
风云剧场,http://106.116.241.95:9999/rtp/239.254.200.94:6228$河北省电信
风云剧场,http://42.179.211.253:8888/rtp/232.0.0.45:1234$辽宁联通
怀旧剧场,http://117.81.217.185:5555/rtp/239.49.1.67:6000$江苏电信
